0.800000 0.500000 0.050461 
1.000000 0.300000 0.118150 
1.000000 2.900000 0.547487 
1.000000 3.900000 0.591333 
0.600000 1.500000 0.510484 
0.300000 0.100000 0.519390 
0.500000 2.100000 0.535901 
0.500000 3.100000 0.570083 
0.800000 2.600000 0.538540 
0.800000 3.600000 0.595455 
0.300000 1.400000 0.527536 
0.900000 3.900000 0.593437 
0.900000 2.900000 0.548801 
0.700000 3.500000 0.613979 
0.700000 2.500000 0.591003 
0.700000 0.600000 0.139853 
1.000000 1.600000 0.385457 
0.900000 0.300000 0.096963 
0.100000 1.000000 0.564468 
0.900000 1.600000 0.370314 
0.800000 1.900000 0.376034 
0.200000 2.400000 0.531903 
0.200000 3.400000 0.527423 
0.200000 0.700000 0.554867 
0.400000 1.100000 0.515765 
0.400000 2.700000 0.540790 
0.400000 3.700000 0.560054 
0.300000 0.800000 0.535587 
0.500000 3.800000 0.593147 
0.500000 2.800000 0.560329 
0.200000 1.200000 0.542534 
0.900000 2.000000 0.466909 
0.900000 3.000000 0.554250 
1.000000 3.000000 0.544355 
1.000000 2.000000 0.487858 
0.100000 3.600000 0.534605 
0.100000 2.600000 0.543280 
0.500000 0.500000 0.492982 
0.700000 1.300000 0.477669 
0.600000 0.900000 0.461717 
0.300000 2.200000 0.528726 
0.300000 3.200000 0.533974 
0.800000 1.000000 0.207700 
0.400000 2.290000 0.533053 
0.500000 1.700000 0.521196 
0.400000 1.800000 0.523953 
0.100000 0.200000 0.569523 
0.400000 0.300000 0.541574 
0.600000 3.300000 0.598365 
0.100000 1.900000 0.550506 
0.300000 4.000000 0.535155 
0.200000 1.300000 0.540945 
0.900000 3.100000 0.557113 
0.900000 2.100000 0.506560 
0.300000 0.900000 0.533179 
0.400000 3.600000 0.558031 
0.400000 2.600000 0.538844 
0.500000 2.900000 0.563492 
0.500000 3.900000 0.596302 
0.500000 0.400000 0.497308 
0.600000 0.800000 0.452597 
0.700000 1.200000 0.456733 
0.100000 2.700000 0.542394 
0.100000 3.700000 0.533650 
1.000000 2.100000 0.500852 
1.000000 3.100000 0.543477 
0.500000 1.600000 0.517523 
0.600000 4.000000 0.605161 
0.100000 0.300000 0.534602 
0.400000 1.900000 0.525671 
0.300000 3.300000 0.534354 
0.800000 1.100000 0.237578 
0.100000 1.800000 0.551743 
0.400000 0.200000 0.554471 
0.100000 2.290000 0.546147 
0.600000 2.200000 0.554231 
0.600000 3.200000 0.595285 
0.600000 1.400000 0.503189 
0.600000 0.100000 0.476721 
1.000000 0.200000 0.178520 
0.800000 0.400000 0.188837 
1.000000 3.800000 0.583111 
1.000000 2.800000 0.587468 
0.800000 3.700000 0.595596 
0.800000 2.700000 0.558021 
0.900000 2.800000 0.539703 
0.900000 3.800000 0.583400 
0.300000 1.500000 0.527231 
0.500000 3.000000 0.566736 
0.500000 2.000000 0.532233 
0.100000 1.100000 0.562520 
0.900000 0.200000 0.090447 
1.000000 1.700000 0.412539 
0.700000 2.400000 0.586877 
0.700000 3.400000 0.613697 
0.700000 0.700000 0.171797 
0.200000 0.600000 0.558383 
0.800000 2.290000 0.464895 
0.400000 1.000000 0.515638 
0.900000 1.700000 0.401546 
0.200000 3.500000 0.526758 
0.200000 2.500000 0.531484 
0.800000 1.800000 0.466113 
