0.748252 3.504673
1.748252 2.504000
1.496503 2.004673
1.496503 2.509346
2.000000 4.003497
1.000000 2.000000
1.251748 2.497207
2.000000 3.503497
2.000000 2.503497
1.748252 2.004000
0.748252 2.000000
0.748252 3.009346
1.699301 3.806584
1.748252 4.008000
1.496503 3.509346
1.748252 3.004000
2.000000 2.000000
1.000000 3.000000
1.496503 3.009346
1.000000 3.503497
1.251748 3.497207
1.251748 3.000000
0.748252 4.009346
1.748252 3.508000
0.748252 2.504673
2.000000 3.003497
1.000000 4.000000
1.699301 1.098765
1.251748 4.000000
1.000000 2.503497
1.496503 4.014019
1.251748 2.000000
